id;order_number;order_date;total_price;status;payment_method;delivery_address;signature
1;éveiller équipe sous;2024-08-31T17:33:44;27025.48;SHIPPED;PAYPAL;redonner;vaste rudement buter
2;pendant que au-dedans de de sorte que;2024-08-31T16:08:47;25396.2;CANCELLED;BANK_TRANSFER;vétuste délégation électorat;aux alentours de sauvegarder
3;près;2024-09-01T04:39:22;11654.45;CANCELLED;BANK_TRANSFER;hier en faveur de;respecter rectangulaire
4;émérite jeune enfant redouter;2024-08-31T12:18:18;26047.18;CONFIRMED;CASH_ON_DELIVERY;miam soudain assez;pendant
5;charitable hi;2024-09-01T01:47:50;22747.49;PENDING;CASH_ON_DELIVERY;au point que au prix de électorat;même si à demi
6;à l'égard de;2024-09-01T01:11:58;28578.88;CANCELLED;PAYPAL;proche durant bof;en subito
7;cocorico;2024-08-31T22:46:49;28480.73;CANCELLED;CASH_ON_DELIVERY;à bas de;suivant rédaction bon
8;cuicui bof;2024-08-31T11:47:34;23948.74;PENDING;BANK_TRANSFER;ouf;soudain
9;jusqu’à ce que;2024-09-01T08:40:45;30227.81;DELIVERED;BANK_TRANSFER;pff;croâ touriste négocier
10;du moment que;2024-08-31T22:36:14;18071.7;DELIVERED;BANK_TRANSFER;d’autant que;population du Québec vétuste en vérité
