id;title;content;date
1;plutôt novice protéger;../fake-data/blob/hipster.txt;2024-08-24T14:42:58
2;nonobstant responsable crac;../fake-data/blob/hipster.txt;2024-08-24T18:42:28
3;triompher vraisemblablement;../fake-data/blob/hipster.txt;2024-08-25T11:16:37
4;meuh trop carrément;../fake-data/blob/hipster.txt;2024-08-25T06:01:17
5;bang aussitôt que;../fake-data/blob/hipster.txt;2024-08-24T21:23:17
6;ouille avant que;../fake-data/blob/hipster.txt;2024-08-24T21:03:11
7;assez camarade de sorte que;../fake-data/blob/hipster.txt;2024-08-25T03:57:00
8;insolite près de;../fake-data/blob/hipster.txt;2024-08-24T14:14:26
9;broum pour que;../fake-data/blob/hipster.txt;2024-08-25T08:31:18
10;derechef;../fake-data/blob/hipster.txt;2024-08-25T04:31:35
