id;name;description;image;quantity;price
1;ensuite;à l'instar de;tendre extrêmement;32013;16147.51
2;quoique assez bondir;alors que;jusque aigre;31302;27565.34
3;ronron vlan;entre areu areu;oh;3440;11351.31
4;d'avec alentour;atchoum par suite de;de façon à ce que chef;1012;18256.38
5;jusqu’à ce que lancer;recueillir comme ci;quand dès;17368;23356.58
6;patientèle camarade fourbe;parce que;sauf à;30273;2831.04
7;combattre pour que de peur de;de façon que;de façon à ce que avant de;28222;30388.48
8;frayer;hebdomadaire lors de perdre;gigantesque direction;4322;18202.5
9;areu areu autour;sauf;toutefois;27954;10660.83
10;au cas où afin que;venger subito gigantesque;naguère près surprendre;10070;14133.15
