id;name;location;description
1;trop clac pourvu que;corps enseignant intrépide;quoique partenaire à l'entour de
2;coac coac spécialiste;magnifique à condition que coin-coin;ferme
3;dynamique hypocrite;à l'insu de commis;de façon que
4;administration;aigre;lâche cyan
5;oups;au-dessus autrement foule;toc triathlète bien que
6;forcer;flotter d'abord;jusqu’à ce que
7;à force de pour que prestataire de services;biathlète collègue;smack séduire
8;triste drelin sincère;de sorte que assurément;tout à fait prestataire de services que
9;considérable vis-à-vie de;parce que;demain sitôt que
10;tsoin-tsoin;commissionnaire;malgré
