id;vehicle_name;license_plate;serial_number;insurance;vehicle_type;gps_tracker
1;zzzz;paf personnel condamner;pendant que au point que que;bien que smack;au cas où croâ;insuffisamment frapper du moment que
2;apparemment;d'abord souper charitable;à l'égard de;jusqu’à ce que vite;sous rectorat;pour
3;ensuite;horrible;aigre après que sédentaire;pour que dès que;brusque broum remuer;a oh
4;sale entre-temps;police;bof zzzz cyan;rectorat;ailleurs coac coac;commis prout
5;dans étant donné que quand ?;hypocrite;pas mal;plouf incognito smack;même si au défaut de au cas où;fabriquer quasi brusque
6;adorable à cause de subito;drôlement à raison de;nonobstant quand ? à l'insu de;pour que d’autant que outre;vu que engendrer maintenant;abîmer
7;commis spécialiste situer;d’autant que guère;ajouter;vroum;en outre de aussitôt que commissionnaire;amorphe gens
8;à l'exception de clac hebdomadaire;d'après alentour;sauf;totalement;d'après si;rectorat sage recommander
9;sitôt que trop peu à condition que;clientèle;membre de l’équipe;déjà en faveur de;trop;autant cocorico développer
10;grandir;bouffer dès pourpre;espérer;prout;presque manier;alimenter vis-à-vie de loin de
